# LineSegmentMap
# a.x a.y b.x b.y
-10.075000  18.025000  26.025000  17.975000
 26.025000  17.975000  26.675000  19.925000
 26.675000  19.925000  30.075000  19.925000
 30.075000  19.925000  30.125000  13.925000
 30.125000  13.925000  26.925000  13.875000
 26.925000  13.875000  26.075000  15.975000
 26.075000  15.975000  10.075000  15.975000
-23.975000  20.025000 -23.925000   7.925000
-22.425000   4.475000 -21.925000   4.025000
-18.075000   2.925000 -18.425000   2.325000
-22.225000  -1.975000 -21.725000  -2.475000
-18.525000  -6.975000 -18.025000  -6.325000
-13.125000 -10.225000 -12.775000  -9.625000
-12.775000  -9.625000 -12.075000 -10.425000
-12.075000 -10.425000 -13.125000 -10.225000
 -8.775000  -5.625000  -9.125000  -5.875000
 -9.125000  -5.875000  -8.975000  -6.325000
 -8.975000  -6.325000  -8.775000  -5.625000
